,acc_test,pre_test,rec_test,f1_test,cross_entropy_loss
0,0.296875,0.23994441526610644,0.296875,0.21792975986161053,2.1992838
1,0.21875,0.20582932692307693,0.21875,0.198917036910458,2.216712
2,0.3125,0.2996685606060606,0.3125,0.2890071733821734,2.1241493
3,0.296875,0.2569019522144522,0.296875,0.26944523001508297,2.1243553
4,0.328125,0.2648065476190476,0.328125,0.27080342902711324,2.1422944
5,0.265625,0.20227949134199133,0.265625,0.22069655987394957,2.1095524
6,0.25,0.20076603084415584,0.25,0.21952457264957265,2.0250633
7,0.375,0.2902958152958153,0.375,0.32667524361603306,2.1768064
8,0.359375,0.29106050199800204,0.359375,0.3143533319124751,2.1187844
9,0.265625,0.2044806322150072,0.265625,0.2244043410633484,2.061116
10,0.3125,0.22077991452991452,0.3125,0.25356045125540094,2.03716
11,0.328125,0.25753205128205126,0.328125,0.27799762533218414,2.126792
12,0.359375,0.2698773448773448,0.359375,0.29463092055003826,1.9902315
13,0.453125,0.38974285263347763,0.453125,0.4110489081996435,1.9786199
14,0.390625,0.3598721590909091,0.390625,0.33665966386554624,2.1023178
15,0.5,0.4752252955377955,0.5,0.47062525709584535,2.0889142
16,0.296875,0.19854910714285715,0.296875,0.22373660696029116,2.1149054
17,0.40625,0.2974215888278388,0.40625,0.33376031862873967,2.0130773
18,0.390625,0.34246495691808193,0.390625,0.34465476151815155,2.0251734
19,0.3125,0.2528342340225564,0.3125,0.2631009615384615,2.0043354
20,0.484375,0.3787760416666667,0.484375,0.41980137917637916,2.0602937
21,0.46875,0.3609126984126984,0.46875,0.3951822916666667,2.0714831
22,0.4375,0.3965611645299145,0.4375,0.40863264339826844,1.8591633
23,0.359375,0.3194839015151515,0.359375,0.3295947924624395,2.1911569
24,0.546875,0.5663194444444444,0.546875,0.49588553807303803,1.98817
25,0.40625,0.30611311431623933,0.40625,0.34119266150516153,1.902884
26,0.46875,0.4080910409035409,0.46875,0.415978955684838,1.9305102
27,0.3125,0.30620941558441556,0.3125,0.28774883437906934,1.9556718
28,0.453125,0.4321428571428571,0.453125,0.4230248611682435,1.9058139
29,0.515625,0.5317078754578755,0.515625,0.4812987314220867,2.076236
30,0.34375,0.3022608901515152,0.34375,0.30798716448992186,2.1336555
31,0.390625,0.4500300480769231,0.390625,0.38681075868575865,1.9045677
32,0.4375,0.3534040178571428,0.4375,0.3795630904183535,2.0488935
33,0.40625,0.3790922619047619,0.40625,0.36967787114845935,1.9634348
34,0.421875,0.3322482638888889,0.421875,0.3637477106227106,1.9221516
35,0.453125,0.5325821314102563,0.453125,0.43438479010025055,1.9601707
36,0.421875,0.34396137716450215,0.421875,0.3686538747200512,1.9263647
37,0.46875,0.43114177489177485,0.46875,0.4393749525328472,1.9759121
38,0.5625,0.5262834821428573,0.5625,0.5320703601953602,1.8516039
39,0.328125,0.3513020833333333,0.328125,0.319238704004329,2.0064187
40,0.421875,0.43621651785714277,0.421875,0.4202815413752914,1.897949
41,0.53125,0.4495659722222222,0.53125,0.47985718325791854,1.886668
42,0.4375,0.5456321022727273,0.4375,0.4115620490620491,1.8234814
43,0.421875,0.43392857142857144,0.421875,0.41232774068252,1.8498908
44,0.453125,0.4209415584415584,0.453125,0.409681519138756,1.7727739
45,0.578125,0.6568585927960928,0.578125,0.5529736705288175,1.9016705
46,0.46875,0.41357886904761904,0.46875,0.43356782106782105,1.8374264
47,0.46875,0.40353422619047613,0.46875,0.42743255518990814,1.8177263
48,0.484375,0.47550223214285714,0.484375,0.47372159090909083,2.0017498
49,0.453125,0.5108630952380953,0.453125,0.449893929170245,1.89515
50,0.4375,0.4642857142857143,0.4375,0.44215824487689814,1.8541713
51,0.53125,0.5877604166666667,0.53125,0.5270105201171378,1.8616061
52,0.453125,0.42747395833333335,0.453125,0.43236547459893043,1.7807738
53,0.4375,0.4809709821428571,0.4375,0.44433783128636073,1.9164172
54,0.5625,0.6515376984126984,0.5625,0.5691170808358309,1.8560102
55,0.546875,0.5994791666666667,0.546875,0.5432520604395604,1.8173306
56,0.515625,0.5833333333333334,0.515625,0.5099431818181818,1.927496
57,0.5625,0.5761160714285714,0.5625,0.5594665903948992,1.8779156
58,0.453125,0.5348462301587301,0.453125,0.4459560812961549,1.8036537
59,0.578125,0.6047991071428571,0.578125,0.5839675030851501,1.9009047
60,0.53125,0.5631313131313131,0.53125,0.5341207586273375,1.849756
61,0.53125,0.5331597222222222,0.53125,0.5279908893190144,1.7322679
62,0.453125,0.4585785308441559,0.453125,0.4438987763666072,1.773167
63,0.5,0.5854910714285714,0.5,0.5113080815383446,1.8095763
64,0.5,0.5084635416666666,0.5,0.4935267857142857,1.8050898
65,0.578125,0.605078125,0.578125,0.5688251087148145,1.7877485
66,0.546875,0.5856770833333333,0.546875,0.5493120645694175,1.8351355
67,0.546875,0.5932849702380952,0.546875,0.5479967948717949,1.7268883
68,0.53125,0.5631696428571429,0.53125,0.5391795704295704,1.7975538
69,0.5,0.5808221726190476,0.5,0.4920427229020979,1.8065228
70,0.578125,0.6668154761904762,0.578125,0.5923783936651583,1.7710543
71,0.5,0.5049479166666666,0.5,0.4947730221167721,1.8067403
72,0.640625,0.634393601190476,0.640625,0.6315164324839248,1.8220038
73,0.578125,0.5925595238095238,0.578125,0.574446397148603,1.7443532
74,0.5,0.516108630952381,0.5,0.49761334382151023,1.7621562
75,0.546875,0.6,0.546875,0.5535613691863692,1.8260832
76,0.5625,0.6004464285714286,0.5625,0.5767795138888888,1.7894058
77,0.46875,0.47109375,0.46875,0.45565151035110396,1.7860857
78,0.5,0.5706845238095237,0.5,0.507766536465985,1.765243
79,0.484375,0.4947612283549783,0.484375,0.47294603696741855,1.7554435
